IPAY|Drug ID|Selected Drug Name|Active Ingredient Name or Active Moiety Name|NDC-9|NDC-11|XREF NDC-11|MFP Effective Date|MFP End Date|Single MFP per 30 DES|NDC-9 MFP per Unit Price|NDC-11 MFP per Package Price|As of Date|Type of Update|Remarks
2026|D2601|ELIQUIS|APIXABAN|000030893|00003089321||20260101||00000231.00|00000004.145072|00000248.70|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2601|ELIQUIS|APIXABAN|000030893|00003089331||20260101||00000231.00|00000004.145072|00000414.51|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2601|ELIQUIS|APIXABAN|000030893|00003089341||20260101||00000231.00|00000004.145072|00000746.11|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2601|ELIQUIS|APIXABAN|000030894|00003089421||20260101||00000231.00|00000004.145072|00000248.70|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2601|ELIQUIS|APIXABAN|000030894|00003089431||20260101||00000231.00|00000004.145072|00000414.51|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2601|ELIQUIS|APIXABAN|000030894|00003089441||20260101||00000231.00|00000004.145072|00000746.11|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2601|ELIQUIS|APIXABAN|000030894|00003089470||20260101||00000231.00|00000004.145072|00000306.74|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2601|ELIQUIS|APIXABAN|000033764|00003376474||20260101||00000231.00|00000004.145072|00000306.74|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060010|58406001001||20260101||00002355.00|00000583.587064|00000291.79|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060010|58406001004||20260101||00002355.00|00000583.587064|00001167.17|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060021|58406002101||20260101||00002355.00|00000583.621067|00000583.62|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060021|58406002104||20260101||00002355.00|00000583.621067|00002334.48|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060032|58406003201||20260101||00002355.00|00000583.766898|00000583.77|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060032|58406003204||20260101||00002355.00|00000583.766898|00002335.07|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060044|58406004401||20260101||00002355.00|00000583.542345|00000583.54|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060044|58406004404||20260101||00002355.00|00000583.542345|00002334.17|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060055|58406005504||20260101||00002355.00|00000582.442177|00001164.88|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060425|58406042534||20260101||00002355.00|00000288.304001|00001153.22|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060425|58406042541||20260101||00002355.00|00000288.304001|00000288.30|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060435|58406043501||20260101||00002355.00|00000583.621067|00000571.95|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060435|58406043504||20260101||00002355.00|00000583.621067|00002287.79|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060445|58406044501||20260101||00002355.00|00000583.766898|00000572.09|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060445|58406044504||20260101||00002355.00|00000583.766898|00002288.37|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060446|58406044601||20260101||00002355.00|00000583.766898|00000583.77|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060446|58406044604||20260101||00002355.00|00000583.766898|00002335.07|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060455|58406045501||20260101||00002355.00|00000583.587064|00000297.63|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060455|58406045504||20260101||00002355.00|00000583.587064|00001190.52|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060456|58406045601||20260101||00002355.00|00000583.542345|00000571.87|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2602|ENBREL|ETANERCEPT|584060456|58406045604||20260101||00002355.00|00000583.542345|00002287.49|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780659|00078065920||20260101||00000295.00|00000005.226585|00000313.60|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780659|00078065935||20260101||00000295.00|00000005.226585|00000522.66|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780659|00078065961||20260101||00000295.00|00000005.226585|00000005.23|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780659|00078065967||20260101||00000295.00|00000005.226585|00000940.79|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780696|00078069620||20260101||00000295.00|00000005.225027|00000313.50|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780696|00078069635||20260101||00000295.00|00000005.225027|00000522.50|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780696|00078069661||20260101||00000295.00|00000005.225027|00000005.23|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780696|00078069667||20260101||00000295.00|00000005.225027|00000940.50|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780777|00078077720||20260101||00000295.00|00000005.225405|00000313.52|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780777|00078077735||20260101||00000295.00|00000005.225405|00000522.54|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780777|00078077761||20260101||00000295.00|00000005.225405|00000005.23|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000780777|00078077767||20260101||00000295.00|00000005.225405|00000940.57|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000781231|00078123120||20260101||00000295.00|00000001.229167|00000073.75|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|000781238|00078123820||20260101||00000295.00|00000001.229167|00000073.75|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|716100806|71610080632||20260101||00000295.00|00000005.225405|00004075.82|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|716100807|71610080737||20260101||00000295.00|00000005.225027|00016302.08|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2603|ENTRESTO|VALSARTAN / SACUBITRILAT|716100810|71610081032||20260101||00000295.00|00000005.226585|00004076.74|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031427|00003142711||20260101||00000178.50|00000006.052894|00000181.59|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031427|00003142712||20260101||00000178.50|00000006.052894|00000544.76|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031427|00003142713||20260101||00000178.50|00000006.052894|00003026.45|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031427|00003142714||20260101||00000178.50|00000006.052894|00000605.29|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031427|00003142791||20260101||00000178.50|00000006.052894|00000042.37|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031428|00003142811||20260101||00000178.50|00000006.052894|00000181.59|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031428|00003142812||20260101||00000178.50|00000006.052894|00000544.76|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031428|00003142813||20260101||00000178.50|00000006.052894|00003026.45|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031428|00003142814||20260101||00000178.50|00000006.052894|00000605.29|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|000031428|00003142891||20260101||00000178.50|00000006.052894|00000042.37|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|003106205|00310620530||20260101||00000178.50|00000006.052894|00000181.59|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|003106205|00310620590||20260101||00000178.50|00000006.052894|00000544.76|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|003106210|00310621030||20260101||00000178.50|00000006.052894|00000181.59|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|003106210|00310621039||20260101||00000178.50|00000006.052894|00000181.59|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|003106210|00310621090||20260101||00000178.50|00000006.052894|00000544.76|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|669930456|66993045630||20260101||00000178.50|00000006.052894|00000181.59|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2604|FARXIGA|DAPAGLIFLOZIN|669930457|66993045730||20260101||00000178.50|00000006.052894|00000181.59|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2605|IMBRUVICA|IBRUTINIB|579620007|57962000712||20260101||00009319.00|00000059.130971|00006386.14|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2605|IMBRUVICA|IBRUTINIB|579620014|57962001428||20260101||00009319.00|00000353.928391|00009909.99|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2605|IMBRUVICA|IBRUTINIB|579620070|57962007028||20260101||00009319.00|00000354.002614|00009912.07|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2605|IMBRUVICA|IBRUTINIB|579620140|57962014009||20260101||00009319.00|00000118.000977|00010620.09|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2605|IMBRUVICA|IBRUTINIB|579620140|57962014012||20260101||00009319.00|00000118.000977|00014160.12|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2605|IMBRUVICA|IBRUTINIB|579620280|57962028028||20260101||00009319.00|00000353.939996|00009910.32|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2605|IMBRUVICA|IBRUTINIB|579620420|57962042028||20260101||00009319.00|00000353.977199|00009911.36|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2605|IMBRUVICA|IBRUTINIB|579620560|57962056028||20260101||00009319.00|00000353.963176|00009910.97|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060112|00006011201||20260101||00000113.00|00000003.907885|00000003.91|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060112|00006011228||20260101||00000113.00|00000003.907885|00000390.79|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060112|00006011231||20260101||00000113.00|00000003.907885|00000117.24|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060112|00006011254||20260101||00000113.00|00000003.907885|00000351.71|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060221|00006022101||20260101||00000113.00|00000003.907885|00000003.91|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060221|00006022128||20260101||00000113.00|00000003.907885|00000390.79|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060221|00006022131||20260101||00000113.00|00000003.907885|00000117.24|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060221|00006022154||20260101||00000113.00|00000003.907885|00000351.71|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060277|00006027701||20260101||00000113.00|00000003.907885|00000003.91|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060277|00006027702||20260101||00000113.00|00000003.907885|00000117.24|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060277|00006027714||20260101||00000113.00|00000003.907885|00000054.71|20240815|Added|Added alongside IPAY2026 MFP announcement
2026|D2606|JANUVIA|SITAGLIPTIN|000060277|00006027727||20260101||00000113.00|00000003.907885|00000109.42|20240815|Added|Added alongside IPAY2026 MFP announcement
